#det	corner	z (cm)	x (cm)	y (cm)	r (cm)	
28	4	20.9138	-3.2442	-5.2442	21.804	
29	1	21.5167	-1.147	-3.3361	21.804	
29	2	21.3207	-3.1373	-3.3165	21.804	
29	3	20.9249	-3.1177	-5.2768	21.804	
29	4	21.1209	-1.1274	-5.2965	21.804	
30	1	21.5223	1	-3.3473	21.804	
30	2	21.5223	-1	-3.3473	21.804	
30	3	21.1246	-1	-5.3073	21.804	
30	4	21.1246	1	-5.3073	21.804	
31	1	21.3207	3.1373	-3.3165	21.804	
31	2	21.5167	1.147	-3.3361	21.804	
31	3	21.1209	1.1274	-5.2965	21.804	
31	4	20.9249	3.1177	-5.2768	21.804	
32	1	20.9138	5.2442	-3.2442	21.804	
32	2	21.304	3.283	-3.283	21.804	
32	3	20.9138	3.2442	-5.2442	21.804	
32	4	20.5237	5.2054	-5.2054	21.804	
33	1	21.1209	5.2965	-1.1274	21.804	
33	2	21.5167	3.3361	-1.147	21.804	
33	3	21.3207	3.3165	-3.1373	21.804	
33	4	20.9249	5.2768	-3.1177	21.804	
34	1	21.1246	5.3073	1	21.804	
34	2	21.5223	3.3473	1	21.804	
34	3	21.5223	3.3473	-1	21.804	
34	4	21.1246	5.3073	-1	21.804	
35	1	20.9249	5.2768	3.1177	21.804	
35	2	21.3207	3.3165	3.1373	21.804	
35	3	21.5167	3.3361	1.147	21.804	
35	4	21.1209	5.2965	1.1274	21.804	
36	1	12.2851	5.1728	5.1728	14.2982	
36	2	12.8849	3.2672	5.2672	14.2982	
36	3	13.4847	3.3616	3.3616	14.2982	
36	4	12.8899	5.2672	3.2672	14.2982	
37	1	12.8879	3.1224	5.3472	14.2982	
37	2	13.1913	1.1461	5.3958	14.2982	
37	3	13.8128	1.1948	3.4955	14.2982	
37	4	13.5094	3.171	3.4468	14.2982	
38	1	13.1923	1	5.4224	14.2982	
38	2	13.1923	-1	5.4224	14.2982	
38	3	13.8211	-1	3.5238	14.2982	
38	4	13.8211	1	3.5238	14.2982	
39	1	13.1913	-1.1461	5.3958	14.2982	
39	2	12.8879	-3.1224	5.3472	14.2982	
39	3	13.5094	-3.171	3.4468	14.2982	
39	4	13.8128	-1.1948	3.4955	14.2982	
40	1	12.8849	-3.2672	5.2672	14.2982	
40	2	12.2851	-5.1728	5.1728	14.2982	
40	3	12.8899	-5.2672	3.2672	14.2982	
40	4	13.4847	-3.3616	3.3616	14.2982	
41	1	13.5094	-3.4468	3.171	14.2982	
41	2	12.8879	-5.3472	3.1224	14.2982	
41	3	13.1913	-5.3958	1.1461	14.2982	
41	4	13.8128	-3.4955	1.1948	14.2982	
42	1	13.8211	-3.5238	1	14.2982	
42	2	13.1923	-5.4224	1	14.2982	
42	3	13.1923	-5.4224	-1	14.2982	
42	4	13.8211	-3.5238	-1	14.2982	
43	1	13.8128	-3.4955	-1.1948	14.2982	
43	2	13.1913	-5.3958	-1.1461	14.2982	
43	3	12.8879	-5.3472	-3.1224	14.2982	
43	4	13.5094	-3.4468	-3.171	14.2982	
44	1	13.4847	-3.3616	-3.3616	14.2982	
44	2	12.8899	-5.2672	-3.2672	14.2982	
44	3	12.2851	-5.1728	-5.1728	14.2982	
44	4	12.8849	-3.2672	-5.2672	14.2982	
45	1	13.8128	-1.1948	-3.4955	14.2982	
45	2	13.5094	-3.171	-3.4468	14.2982	
45	3	12.8879	-3.1224	-5.3472	14.2982	
45	4	13.1913	-1.1461	-5.3958	14.2982	
46	1	13.8211	1	-3.5238	14.2982	
46	2	13.8211	-1	-3.5238	14.2982	
46	3	13.1923	-1	-5.4224	14.2982	
46	4	13.1923	1	-5.4224	14.2982	
47	1	13.5094	3.171	-3.4468	14.2982	
47	2	13.8128	1.1948	-3.4955	14.2982	
47	3	13.1913	1.1461	-5.3958	14.2982	
47	4	12.8879	3.1224	-5.3472	14.2982	
48	1	12.8899	5.2672	-3.2672	14.2982	
48	2	13.4847	3.3616	-3.3616	14.2982	
48	3	12.8849	3.2672	-5.2672	14.2982	
48	4	12.2851	5.1728	-5.1728	14.2982	
49	1	13.1913	5.3958	-1.1461	14.2982	
49	2	13.8128	3.4955	-1.1948	14.2982	
49	3	13.5094	3.4468	-3.171	14.2982	
49	4	12.8879	5.3472	-3.1224	14.2982	
50	1	13.1923	5.4224	1	14.2982	
50	2	13.8211	3.5238	1	14.2982	
50	3	13.8211	3.5238	-1	14.2982	
50	4	13.1923	5.4224	-1	14.2982	
51	1	12.8879	5.3472	3.1224	14.2982	
51	2	13.5094	3.4468	3.171	14.2982	
51	3	13.8128	3.4955	1.1948	14.2982	
51	4	13.1913	5.3958	1.1461	14.2982	
52	1	7.067	5.082	5.082	10.0636	
52	2	7.92	3.284	5.284	10.0636	
52	3	8.773	3.4863	3.4863	10.0636	
52	4	7.92	5.284	3.284	10.0636	
53	1	7.885	3.097	5.455	10.0636	
53	2	8.322	1.148	5.563	10.0636	
53	3	9.242	1.256	3.791	10.0636	
53	4	8.805	3.205	3.683	10.0636	
54	1	8.304	1	5.618	10.0636	
54	2	8.304	-1	5.618	10.0636	
54	3	9.2466	-1	3.8543	10.0636	
54	4	9.2466	1	3.8543	10.0636	
55	1	8.322	-1.148	5.563	10.0636	
55	2	7.885	-3.097	5.455	10.0636	
55	3	8.805	-3.205	3.683	10.0636	
55	4	9.242	-1.256	3.791	10.0636	
56	1	7.92	-3.284	5.284	10.0636	
56	2	7.067	-5.082	5.082	10.0636	
56	3	7.92	-5.284	3.284	10.0636	
56	4	8.773	-3.486	3.4863	10.0636	
57	1	8.8046	-3.6825	3.205	10.0636	
57	2	7.885	-5.455	3.097	10.0636	
57	3	8.322	-5.563	1.148	10.0636	
57	4	9.242	-3.791	1.256	10.0636	
58	1	9.2466	-3.8543	1	10.0636	
58	2	8.304	-5.618	1	10.0636	
58	3	8.304	-5.618	-1	10.0636	
58	4	9.2466	-3.8543	-1	10.0636	
59	1	9.242	-3.791	-1.256	10.0636	
59	2	8.322	-5.563	-1.148	10.0636	
59	3	7.885	-5.455	-3.097	10.0636	
59	4	8.8046	-3.6825	-3.205	10.0636	
60	1	8.7731	-3.4863	-3.4863	10.0636	
60	2	7.92	-5.284	-3.284	10.0636	
60	3	7.067	-5.082	-5.082	10.0636	
60	4	7.92	-3.284	-5.284	10.0636	
61	1	9.2416	-1.2563	-3.7906	10.0636	
61	2	8.805	-3.205	-3.683	10.0636	
61	3	7.885	-3.097	-5.455	10.0636	
61	4	8.322	-1.148	-5.563	10.0636	
62	1	9.2466	1	-3.8543	10.0636	
62	2	9.2466	-1	-3.8543	10.0636	
62	3	8.304	-1	-5.618	10.0636	
62	4	8.304	1	-5.618	10.0636	
63	1	8.8046	3.205	-3.683	10.0636	
63	2	9.2416	1.256	-3.791	10.0636	
63	3	8.322	1.148	-5.563	10.0636	
63	4	7.885	3.097	-5.455	10.0636	
64	1	7.92	5.284	-3.284	10.0636	
64	2	8.773	3.486	-3.486	10.0636	
64	3	7.92	3.284	-5.284	10.0636	
64	4	7.067	5.082	-5.082	10.0636	
65	1	8.322	5.563	-1.148	10.0636	
65	2	9.2416	3.7906	-1.2563	10.0636	
65	3	8.8046	3.6825	-3.205	10.0636	
65	4	7.885	5.455	-3.097	10.0636	
66	1	8.304	5.618	1	10.0636	
66	2	9.2466	3.8543	1	10.0636	
66	3	9.2466	3.8543	-1	10.0636	
66	4	8.304	5.618	-1	10.0636	
67	1	7.885	5.455	3.097	10.0636	
67	2	8.8046	3.6825	3.205	10.0636	
67	3	9.2416	3.7906	1.2563	10.0636	
67	4	8.322	5.563	1.148	10.0636	
